id_do_not_translate,original_text,translation
phase_corps.description,"Tri-Tachyon pries open holy creation daily, and at each desecration our wholesale damnation looms. Our path is burden; our path is suffering. We shall face them with faith that the only redemption is final judgment.",
special_modifications.name,Special Modifications,
special_modifications.description,"The Domainers, oh, they designed to last, it's true. But all that soft living, you can tell they were scared to really push these things to their limits.",
neural_link.name,Neural Link,
neural_link.description,Why should a captain go down with their ship? The Tri-Tachyon corporation does not waste top talent.,
automated_ships.name,Automated Ships,
automated_ships.description,[REDACTED],
bulk_transport.name,Bulk Transport,
bulk_transport.description,"You can no more escape the economy than you can escape gravity. It surrounds us, contains us, uplifts us. It bound the galaxy together once, and will again.",
salvaging.name,Salvaging,
salvaging.description,"It makes me feel very small, like we're vermin plundering the cities of fallen angels.
It also makes me rich.",
field_repairs.name,Field Repairs,
field_repairs.description,There's no one within twenty lights that hasn't got crossbones etched on their hull. We have only our skill and whatever we find in that debris field to get us out of here.,
ordnance_expert.name,Ordnance Expertise,
ordnance_expert.description,The weak fear the spiritual potency of the killing machine. The strong instinctually recognize its beauty.,
polarized_armor.name,Polarized Armor,
polarized_armor.description,"The pre-Collapse manuals say never to do this. ... No, I don't know. Haven't had any problems so far.",
containment_procedures.name,Containment Procedures,
containment_procedures.description,Check each seal three times true so that Death does not come for you.,
makeshift_equipment.name,Makeshift Equipment,
makeshift_equipment.description,I guess we left the spares in orbit. It'll be fine ... [static] ... just watch.,
industrial_planning.name,Industrial Planning,
industrial_planning.description,A barren but promising world well-situated to become the center of culture and industry of Magec. SIE models project vast investment in resource exploitation from Guayota’s Disk.,
derelict_contingent.name,Derelict Operations,
derelict_contingent.description,"They think we're trash, the execs and admirals in their shiny starships. They threw us away the second it went bad. But it's us the Sector got built on and it's us that'll cut 'em down.",
hull_restoration.name,Hull Restoration,
hull_restoration.description,There's no hull a true spacer can't make home.,
omega_ecm.name,Omega EW,
hypercognition.name,Hypercognition,
hypercognition.description,"A limitless machine given every datum, every human thought to combine and recombine into variants beyond count. Ask, and an appropriate answer is produced.
Yet I find myself not satisfied that being fooled proves such a grandiose proposition.",
space_operations.name,Space Operations,
space_operations.description,The same stars are seen in the sky of every world.,
planetary_operations.name,Ground Operations,
planetary_operations.description,"The mud? I don't mind it. Spacers always carry on about mud.
It's the blood I can't stand.",
colony_management.name,Colony Management,
colony_management.description,"Where there is life, that is the throne of God, and all that is good can be found there.",
strike_commander.name,Strike Commander,
strike_commander.description,You will fly and it will be a storm like they've never known. You are a thunderbolt come to split the sky itself!,
ranged_specialization.name,Ranged Specialization,
ranged_specialization.description,"See this firing solution? It'll make the defensive algorithms overreact at just the wrong time. The catch is, they've got to see it coming.",
shield_modulation.name,Shield Modulation,
shield_modulation.description,Few have a talent for what I like to think of as 'active tuning'. I find musicians make the best shield officers.,
phase_mastery.name,Phase Mastery,
phase_mastery.description,"I'm not getting back on that ship, not never.",
reliability_engineering.name,Reliability Engineering,
reliability_engineering.description,"In the end, by time and rads, my body will die. My comrades will return me to the stars that made me, and my ship will go on.",
weapon_drills.name,Weapon Drills,
weapon_drills.description,"What's it stopped the Tri-Tach plot? (Guns!)
What was it ol' Ludd forgot? (Guns!)
What’ve we got that they have not? (Big, big, guns!)",
auxiliary_support.name,Auxiliary Support,
auxiliary_support.description,No reserves? Look around you! There are a thousand space-capable ships in the civilian docks and a billion citizens in the arcologies. We need only open the stockpiles and give them weapons before the invasion arrives.,
#combat_endurance.name,Combat Endurance,
#combat_endurance.description,"Through experience and planning, a seasoned officer has the ability to extend the effective warfighting time of ship and crew during the extreme conditions of combat deployment.",
#ordnance_expert.name,Ordnance Expertise,
#ordnance_expert.description,A detailed knowledge of the operational characteristics and maintenance protocols of armaments can be applied to achieve increased combat performance.,
#defensive_systems.name,Defensive Systems,
#defensive_systems.description,Extensive knowledge of the interactions between the ship's power grid and its defensive systems can produce qualitative improvements in operational characteristics.,
#advanced_countermeasures.name,Advanced Countermeasures,
#advanced_countermeasures.description,Attention to detail and regular maintenance can allow the various defensive systems of a hull to excel in their role.,
#evasive_action.name,Evasive Action,
#evasive_action.description,"Even if incoming fire cannot be completely avoided, the pilot often has a choice in just where the damage is taken, which can result in reduced damage impact.",
#command_and_control.name,Command & Control,
#command_and_control.description,Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.,
#fighter_doctrine.name,Fighter Doctrine,
#fighter_doctrine.description,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",
#carrier_command.name,Carrier Command,
#carrier_command.description,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",
#wing_commander.name,Wing Commander,
#wing_commander.description,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",
#flux_modulation.name,Power Grid Modulation,
#flux_modulation.description,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,
#ship_design.name,Loadout Design,
#ship_design.description,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",
#fleet_logistics.name,Fleet Logistics,
#fleet_logistics.description,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",
#recovery_operations.name,Recovery Operations,
#recovery_operations.description,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",
#safety_procedures.name,Safety Procedures,
#safety_procedures.description,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",
